voivoideship,county,county_ID,total,males,females
dolnośląskie,Powiat m. Jelenia Góra,0261,79200,36782,42418
dolnośląskie,Powiat m. Legnica,0262,99486,47129,52357
dolnośląskie,Powiat m. Wrocław,0264,641607,299653,341954
dolnośląskie,Powiat m. Wałbrzych,0265,111896,52691,59205
dolnośląskie,Powiat bolesławiecki,0201,90108,43765,46343
dolnośląskie,Powiat dzierżoniowski,0202,101118,48195,52923
dolnośląskie,Powiat głogowski,0203,89319,43444,45875
dolnośląskie,Powiat górowski,0204,35047,17367,17680
dolnośląskie,Powiat jaworski,0205,50315,24664,25651
dolnośląskie,Powiat jeleniogórski,0206,63639,30781,32858
dolnośląskie,Powiat kamiennogórski,0207,43429,21225,22204
dolnośląskie,Powiat kłodzki,0208,158600,76538,82062
dolnośląskie,Powiat legnicki,0209,55318,27124,28194
dolnośląskie,Powiat lubański,0210,54493,26550,27943
dolnośląskie,Powiat lubiński,0211,106211,51297,54914
dolnośląskie,Powiat lwówecki,0212,45975,22392,23583
dolnośląskie,Powiat milicki,0213,37003,18304,18699
dolnośląskie,Powiat oleśnicki,0214,107090,52274,54816
dolnośląskie,Powiat oławski,0215,76723,37384,39339
dolnośląskie,Powiat polkowicki,0216,62948,31136,31812
dolnośląskie,Powiat strzeliński,0217,43713,21639,22074
dolnośląskie,Powiat średzki,0218,54646,27057,27589
dolnośląskie,Powiat świdnicki,0219,157178,75816,81362
dolnośląskie,Powiat trzebnicki,0220,85092,41846,43246
dolnośląskie,Powiat wałbrzyski,0221,55820,26891,28929
dolnośląskie,Powiat wołowski,0222,46914,22965,23949
dolnośląskie,Powiat wrocławski,0223,148663,72763,75900
dolnośląskie,Powiat ząbkowicki,0224,65104,31681,33423
dolnośląskie,Powiat zgorzelecki,0225,89612,43598,46014
dolnośląskie,Powiat złotoryjski,0226,43719,21448,22271
Kujawsko-pomorskie,Powiat m. Bydgoszcz,0461,349021,164078,184943
Kujawsko-pomorskie,Powiat m. Grudziądz,0462,94732,45110,49622
Kujawsko-pomorskie,Powiat m. Toruń,0463,201798,93883,107915
Kujawsko-pomorskie,Powiat m. Włocławek,0464,110287,51869,58418
Kujawsko-pomorskie,Powiat aleksandrowski,0401,55150,26802,28348
Kujawsko-pomorskie,Powiat brodnicki,0402,78935,39064,39871
Kujawsko-pomorskie,Powiat bydgoski,0403,118041,58480,59561
Kujawsko-pomorskie,Powiat chełmiński,0404,52018,25496,26522
Kujawsko-pomorskie,Powiat golubsko-dobrzyński,0405,45059,22347,22712
Kujawsko-pomorskie,Powiat grudziądzki,0406,40181,20081,20100
Kujawsko-pomorskie,Powiat inowrocławski,0407,160216,77636,82580
Kujawsko-pomorskie,Powiat lipnowski,0408,65869,32776,33093
Kujawsko-pomorskie,Powiat mogileński,0409,45756,22373,23383
Kujawsko-pomorskie,Powiat nakielski,0410,86449,42870,43579
Kujawsko-pomorskie,Powiat radziejowski,0411,40546,20076,20470
Kujawsko-pomorskie,Powiat rypiński,0412,43618,21538,22080
Kujawsko-pomorskie,Powiat sępoleński,0413,41055,20498,20557
Kujawsko-pomorskie,Powiat świecki,0414,99154,48866,50288
Kujawsko-pomorskie,Powiat toruński,0415,107641,53052,54589
Kujawsko-pomorskie,Powiat tucholski,0416,48329,24153,24176
Kujawsko-pomorskie,Powiat wąbrzeski,0417,34297,16890,17407
Kujawsko-pomorskie,Powiat włocławski,0418,86131,42683,43448
Kujawsko-pomorskie,Powiat żniński,0419,70234,34740,35494
lubelskie,Powiat m. Biała Podlaska,0661,57264,27423,29841
lubelskie,Powiat m. Chełm,0662,62331,29271,33060
lubelskie,Powiat m. Lublin,0663,339770,156630,183140
lubelskie,Powiat m. Zamość,0664,63511,29889,33622
lubelskie,Powiat bialski,0601,111078,55208,55870
lubelskie,Powiat biłgorajski,0602,101152,49870,51282
lubelskie,Powiat chełmski,0603,78074,38562,39512
lubelskie,Powiat hrubieszowski,0604,63320,31038,32282
lubelskie,Powiat janowski,0605,45845,22724,23121
lubelskie,Powiat krasnostawski,0606,63554,30953,32601
lubelskie,Powiat kraśnicki,0607,95618,46445,49173
lubelskie,Powiat lubartowski,0608,88591,43281,45310
lubelskie,Powiat lubelski,0609,154760,75811,78949
lubelskie,Powiat łęczyński,0610,57372,28151,29221
lubelskie,Powiat łukowski,0611,107144,53272,53872
lubelskie,Powiat opolski,0612,59511,29044,30467
lubelskie,Powiat parczewski,0613,34809,17292,17517
lubelskie,Powiat puławski,0614,113441,54357,59084
lubelskie,Powiat radzyński,0615,59057,29484,29573
lubelskie,Powiat rycki,0616,55919,27843,28076
lubelskie,Powiat świdnicki,0617,71897,34601,37296
lubelskie,Powiat tomaszowski,0618,83148,40970,42178
